Rank,Release,Gross
473,INXS: Baby Live at Wembly Stadium,161750.00
474,Monty Python's Life of Brian,161507.00
,2019 Re-release,
475,"Diana Ross: Her Life, Love and Legacy",160968.00
476,Batman,159419.00
,2019 Re-release,
477,Them That Follow,159218.00
478,Synonyms,158181.00
479,The World Before Your Feet,156821.00
480,Money,155732.00
481,The Death & Life of John F. Donovan,152713.00
482,Halston,151991.00
483,Peterloo,151971.00
484,Before You Know It,151507.00
485,Jay Myself,151331.00
486,Glory,150801.00
,2019 Re-release,
487,The Samuel Project,150478.00
488,Little Woods,150010.00
489,Trial by Fire,148504.00
490,War and Peace,148503.00
491,Dogman,148225.00
492,Framing John DeLorean,145625.00
493,Hampstead,144396.00
494,Doctor Who: Logopolis,143248.00
495,Hubble 3D,142163.00
496,Canelo vs. Kovalev,140820.00
497,The Last Resort,140330.00
498,Wilder vs. Ortiz,139207.00
499,Who Will Write Our History,138039.00
500,Rafiki,137968.00
501,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,137888.00
502,The Other Story,135191.00
503,Okko's Inn,134787.00
504,Palau the Movie,134696.00
505,Burning,134130.00
506,Made in Abyss: Journey's Dawn,134047.00
507,Peppa Celebrates Chinese New Year,131225.00
508,Mister America,130897.00
509,The Zoya Factor,128831.00
510,Woodstock,126562.00
511,Paris Is Burning,125677.00
,2019 Re-release,
512,Lost & Found,125173.00
513,Mary Magdalene,124741.00
,2019 Re-release,
514,Easy Rider,123276.00
,2019 Re-release,
515,Born to Be Wild,121961.00
516,A Tuba to Cuba,121772.00
517,Avant qu'on explose,119894.00
518,Portrait of a Lady on Fire,118603.00
519,The Fall of the American Empire,118515.00
520,"Ruben Brandt, Collector",117963.00
,2018 Re-release,
521,The Reports on Sarah and Saleem,117479.00
522,Mob Psycho 100,115766.00
523,Police Story,113164.00
524,Be Natural: The Untold Story of Alice Guy-Blach�,111998.00
525,The Kingmaker,109948.00
526,Babylon,109749.00
527,Branagh Theatre Live: The Winter's Tale,108403.00
528,The Audience,106529.00
,2019 Re-release,
529,The Brink,106057.00
530,"Belle and Sebastian, Friends for Life",105890.00
,2018 Re-release,
531,Cold Case Hammarskj�ld,104965.00
532,Downtown 81,104646.00
,2019 Re-release,
533,Miss & Mrs. Cops,104578.00
534,Penguin Highway,104567.00
535,Anthropocene: The Human Epoch,104488.00
536,The Divine Fury,102982.00
537,Walking on Water,102140.00
538,Mojin: The Worm Valley,101516.00
539,Wonders of the Sea,100780.00
540,Mirai,100766.00
541,Tazza: One-Eyed Jack,97655.00
542,The Song of Names,94221.00
543,The Image Book,94153.00
544,Margaret Atwood: Live in Cinemas,93690.00
545,Rojo,92396.00
546,Always Miss You,91884.00
547,Mapplethorpe,91002.00
548,The Crossing,90896.00
549,Loopers: The Caddie's Long Walk,90679.00
550,My Dear Liar,90545.00
551,A Bigger Splash,90414.00
,2019 Re-release,
552,Sound! Euphonium the Movie - Our Promise: A Brand New Day,90341.00
553,Varda by Agn�s,89993.00
554,Take Point,89650.00
555,Ramen Shop,88455.00
556,The Lumber Baron,88336.00
557,Jim Allison: Breakthrough,87984.00
558,ECCO,86858.00
559,Sonchiriya,86765.00
560,The Chambermaid,86422.00
561,National Theater Live: Cyrano de Bergerac,86300.00
562,Mayday Life,85912.00
563,Skid Row Marathon,84997.00
564,The Third Wife,84933.00
565,Papi Chulo,84703.00
566,Woodstock,84440.00
567,Once Upon a Deadpool,84300.00
,2018 Re-release,
568,Looking Up,84267.00
569,High Strung Free Dance,83891.00
,2019 Re-release,
570,Ms. Purple,80657.00
571,The Old Man & the Gun,80104.00
572,Swing Kids,79527.00
573,Saint Judy,78935.00
574,The Heiresses,78473.00
575,A Faithful Man,78183.00
576,Ploey,77815.00
577,Fast Color,76916.00
578,Christ Stopped at Eboli,76906.00
579,Triple Threat,76289.00
580,"Hale County This Morning, This Evening",74958.00
581,Savage,74491.00
582,5B,72968.00
583,Working Woman,72568.00
584,Cliffs of Freedom,72476.00
585,3 Faces,72324.00
586,Storm Boy,71760.00
587,Free Trip to Egypt,71087.00
,2019 Re-release,
588,The Battle of Jangsari,70853.00
589,Styx,70794.00
,2018 Re-release,
590,Batman Returns,70642.00
,2019 Re-release,
591,Edie,70138.00
592,Diamantino,70088.00
593,The Body,68196.00
594,The Silence of Others,67986.00
595,The Divine Move 2: The Wrathful,67578.00
596,Being Frank,67343.00
597,Cunningham,65446.00
598,This Changes Everything,64988.00
599,End of the Century,64880.00
600,Beautiful Boy,62360.00
601,Sauvage / Wild,61604.00
602,The Mountain,61385.00
603,Last Year at Marienbad,60884.00
,2019 Re-release,
604,By the Grace of God,60748.00
605,John Fogerty: 50 Year Trip - Live at Red Rocks,59795.00
606,Mickey and the Bear,57188.00
607,Heavy Water,55446.00
608,Maria By Callas,53405.00
609,The Hate U Give,53108.00
610,Pl�cido Domingo Gala,52502.00
611,One Cut of the Dead,52406.00
612,QT8: The First Eight,51896.00
613,Greener Grass,51456.00
614,"Cyrano, My Love",51419.00
