Rank,Company Name,Employees,Revenues,Profits,Assets,MarketValue 
253,DTE Energy,10700.00,12669.00,1169.00,41882.00,18289.50
254,American Family Insurance Group,13531.00,12633.20,455.90,31123.70,-
255,Farmers Insurance Exchange,10980.00,12592.50,55.30,17456.50,-
256,Consolidated Edison,14890.00,12574.00,1343.00,58079.00,26034.50
257,LKQ,51000.00,12506.10,541.30,12780.00,6310.70
258,Sempra Energy,13969.00,12443.00,2197.00,65665.00,33037.40
259,Edison International,12937.00,12347.00,1284.00,64382.00,19867.60
260,CenterPoint Energy,14262.00,12301.00,791.00,35439.00,7765.40
261,Quanta Services,40300.00,12112.20,402.00,8331.70,4537.20
262,Murphy USA,7250.00,12101.30,154.80,2687.20,2556.80
263,Expedia Group,25400.00,12067.00,565.00,21416.00,7877.20
264,Group 1 Automotive,15296.00,12043.80,174.00,5570.20,813.20
265,Bed Bath & Beyond,62000.00,12028.80,-137.20,6570.50,534.50
266,Unum Group,10300.00,11998.90,1100.30,67013.40,3046.60
267,CSX,20908.00,11937.00,3331.00,38257.00,44161.70
268,AutoZone,75840.00,11863.70,1617.20,9895.90,19756.20
269,Pacific Life,3815.00,11847.00,725.00,171473.00,-
270,Vistra Energy,5475.00,11809.00,928.00,26616.00,7795.30
271,Charles Schwab,19700.00,11785.00,3704.00,294005.00,43278.20
272,Crown Holdings,33043.00,11665.00,510.00,15505.00,7875.80
273,Ally Financial,8700.00,11618.00,1715.00,180644.00,5402.50
274,Laboratory Corp. of America,65000.00,11554.80,823.80,18046.40,12297.70
275,Live Nation Entertainment,18200.00,11548.00,69.90,10975.60,9752.60
276,Xcel Energy,11295.00,11529.00,1372.00,50448.00,31637.50
277,Corning,49500.00,11503.00,960.00,28898.00,15664.20
278,W.W. Grainger,24550.00,11486.00,849.00,6005.00,13337.80
279,Ball,18300.00,11474.00,566.00,17360.00,21065.30
280,Fox,7700.00,11389.00,1595.00,19509.00,14142.90
281,Universal Health Services,79050.00,11378.30,814.90,11668.30,8593.20
282,Baxter International,50000.00,11362.00,1001.00,18193.00,41180.10
283,Norfolk Southern,24587.00,11296.00,2722.00,37923.00,37537.30
284,Navistar International,12300.00,11251.00,221.00,6917.00,1640.60
285,Adobe,22634.00,11171.30,2951.50,20762.40,153328.30
286,J.C. Penney,90000.00,11167.00,-268.00,7989.00,115.60
287,Discovery,9200.00,11144.00,2069.00,33735.00,9503.10
288,Keurig Dr Pepper,25500.00,11120.00,1254.00,49518.00,34147.60
289,Leidos Holdings,34000.00,11094.00,667.00,9367.00,13000.30
290,IQVIA Holdings,67000.00,11088.00,191.00,23251.00,20797.20
291,Reliance Steel & Aluminum,15300.00,10973.80,701.50,8131.10,5856.30
292,Nvidia,13775.00,10918.00,2796.00,17315.00,161451.20
293,Entergy,13635.00,10878.70,1241.20,51723.90,18870.60
294,FirstEnergy,12316.00,10850.00,912.00,42301.00,21666.40
295,eBay,13300.00,10800.00,1786.00,18174.00,23930.20
296,Boston Scientific,36000.00,10735.00,4700.00,30565.00,45655.90
297,Office Depot,40000.00,10647.00,99.00,7311.00,867.70
298,Molson Coors Beverage,17700.00,10579.40,241.70,28859.80,8441.00
299,Steel Dynamics,8385.00,10465.00,671.10,8275.80,4793.80
300,Mutual of Omaha Insurance,6072.00,10455.70,271.50,50173.60,-
301,Sonic Automotive,9300.00,10454.30,144.10,4071.00,567.10
302,Alcoa,13800.00,10433.00,-1125.00,14631.00,1145.20
303,Fidelity National Information Services,55000.00,10333.00,298.00,83806.00,74969.40
304,Henry Schein,19000.00,10305.30,694.70,7151.10,7244.10
305,Republic Services,36000.00,10299.40,1073.30,22683.80,23955.70
306,Liberty Media,6753.00,10292.00,106.00,44189.00,9971.60
307,Peter Kiewit Sons',23000.00,10283.00,419.00,5717.00,-
308,Interpublic Group,54300.00,10221.30,656.00,17751.90,6278.90
309,PulteGroup,5245.00,10213.00,1016.70,10715.60,6014.80
310,AES,8000.00,10189.00,303.00,33648.00,9040.80
311,Fiserv,44000.00,10187.00,893.00,77539.00,64507.60
312,BorgWarner,29000.00,10168.00,746.00,9702.00,5037.40
313,Oneok,2882.00,10164.40,1278.60,21812.10,9014.50
314,O'Reilly Automotive,67663.00,10150.00,1391.00,10717.20,22353.40
315,Assurant,13900.00,10086.80,382.60,44291.20,6217.90
316,Newell Brands,30000.00,10083.10,106.60,15642.00,5949.10
317,Public Service Enterprise Group,12992.00,10076.00,1693.00,47730.00,22685.30
318,News Corp.,28000.00,10074.00,155.00,15711.00,5279.70
319,Calpine,2256.00,10072.00,770.00,16649.00,-
320,Auto-Owners Insurance,6141.00,10007.40,1352.40,27134.80,-
321,Mohawk Industries,41800.00,9970.70,744.20,13386.70,5464.30
322,PVH,30750.00,9909.00,417.30,13631.00,2746.20
322,Campbell Soup,19000.00,9909.00,211.00,13148.00,13928.50
324,NRG Energy,4577.00,9871.00,4438.00,12531.00,6829.80
325,Fifth Third Bancorp,19869.00,9790.00,2512.00,169369.00,10560.30
326,Hertz Global Holdings,38000.00,9779.00,-58.00,24627.00,878.00
327,Altice USA,10700.00,9760.90,138.90,34108.10,14109.50
328,Newmont,16600.00,9740.00,2805.00,39974.00,36576.60
329,Cheniere Energy,1530.00,9730.00,648.00,35492.00,8511.80
330,Advance Auto Parts,53000.00,9709.00,486.90,11248.50,6461.30
331,Lam Research,10700.00,9653.60,2191.40,12001.30,34931.60
332,Owens & Minor,15400.00,9650.00,-62.40,3643.10,576.90
333,Equitable Holdings,10100.00,9591.00,-1733.00,249870.00,6706.90
334,Conagra Brands,18000.00,9538.40,678.30,22213.80,14290.80
335,Markel,18600.00,9526.20,1790.50,37473.80,12787.10
336,Jones Financial (Edward Jones),49000.00,9526.00,1092.00,19317.00,-
337,Hormel Foods,18800.00,9497.30,978.80,8109.00,25081.90
338,Hilton Worldwide Holdings,173000.00,9452.00,881.00,14957.00,18933.00
339,Univar Solutions,10300.00,9443.80,-100.20,6494.80,1810.40
340,United Rentals,19100.00,9351.00,1174.00,18970.00,7622.60
341,Pioneer Natural Resources,2323.00,9304.00,756.00,19067.00,11624.90
342,Delek US Holdings,3707.00,9298.20,310.60,7016.30,1190.10
343,Eastman Chemical,14500.00,9273.00,759.00,16008.00,6330.00
344,EMCOR Group,36000.00,9174.60,325.10,4830.40,3449.80
345,Avis Budget Group,25600.00,9172.00,302.00,23126.00,966.60
346,J.B. Hunt Transport Services,29056.00,9165.30,516.30,5470.90,9800.30
347,Xerox Holdings,27000.00,9145.00,1353.00,15047.00,4030.20
348,Wayfair,16985.00,9127.10,-984.60,2953.00,5042.70
349,KKR,1384.00,9120.30,2005.00,60899.30,19912.60
350,AGCO,20961.00,9041.40,125.20,7759.70,3546.30
351,Alleghany,10786.00,9040.70,857.80,26931.60,7923.50
352,Icahn Enterprises,28033.00,8992.00,-1098.00,24639.00,10365.70
353,Voya Financial,6000.00,8942.00,-351.00,169051.00,5366.20
354,Ryder System,39900.00,8925.80,-24.40,14475.30,1380.70
355,Air Products & Chemicals,17570.00,8918.90,1760.00,18942.80,44049.60
356,Mosaic,12600.00,8906.30,-1067.40,19298.50,4098.20
357,Huntington Ingalls Industries,42000.00,8899.00,549.00,7031.00,7420.30
358,Berry Global Group,48000.00,8878.00,404.00,16469.00,4463.00
359,Anixter International,9400.00,8845.60,262.90,4808.90,2972.70
360,Alaska Air Group,24134.00,8781.00,769.00,12993.00,3490.00
361,Yum China Holdings,450000.00,8776.00,713.00,6950.00,16033.20
362,Dick's Sporting Goods,28450.00,8750.70,297.50,6628.60,1848.30
363,Caesars Entertainment,64000.00,8742.00,-1195.00,25345.00,4612.10
364,Genworth Financial,3100.00,8681.00,343.00,101342.00,1675.80
365,Targa Resources,2680.00,8671.10,-209.20,18815.10,1610.80
366,Coty,19000.00,8648.50,-3784.20,17665.40,3924.40
367,Dana,36300.00,8620.00,226.00,7220.00,1128.20
368,Thrivent Financial for Lutherans,3235.00,8611.70,968.10,102478.30,-
369,Autoliv,61957.00,8547.60,461.50,6771.20,4017.40
370,SpartanNash,13800.00,8536.10,5.70,2275.60,520.50
371,Eversource Energy,8234.00,8526.50,909.10,41123.90,25835.30
372,Darden Restaurants,184514.00,8510.40,713.40,5892.80,6580.00
373,Chesapeake Energy,2300.00,8489.00,-308.00,16193.00,337.70
374,National Oilwell Varco,34645.00,8479.00,-6095.00,13149.00,3793.90
375,Fidelity National Financial,23484.00,8469.00,1062.00,10677.00,6854.30
376,Erie Insurance Group,5778.00,8443.30,551.00,23346.70,-
377,Oshkosh,15400.00,8382.00,579.40,5566.30,4394.40
